idno,cntry,gndr,agea,c2weight,w4q47,w4q48,w4q49,w4q50,w4q51,w4q52,w4q53,w4q54,w4q55,w4q56,w4q57,w4q58,w4q59,w4q60,gndr_lab,age_band,cntry_iso2,positive_affect_mean,distress_mean,positive_affect_z,distress_z
10167,AT,1,73,2.3594236,1,1,2,3,1,3,1,1,1,1,2,1,1,1,Male,65+,AT,3,1.1666666666666667,0.44262012353696373,-0.9871607886573683
10190,AT,2,41,0.64719534,2,4,3,2,1,2,1,2,3,2,4,2,3,1,Female,30–44,AT,2,2.3333333333333335,-0.9329248789936372,1.0837100227419514
10202,AT,1,35,0.43431893,1,2,1,3,2,3,1,1,1,1,2,1,2,1,Male,30–44,AT,3,1.3333333333333333,0.44262012353696373,-0.6913221013146087
10237,AT,1,55,3.221599,2,1,2,3,1,4,1,1,2,2,2,1,2,1,Male,45–64,AT,3.5,1.5,1.1303926248022642,-0.3954834139718486
10238,AT,2,65,3.5392592,1,2,2,3,1,3,1,1,2,2,2,1,2,1,Female,65+,AT,3,1.5,0.44262012353696373,-0.3954834139718486
10296,AT,2,27,0.4109379,3,3,2,2,4,2,3,4,3,3,4,3,3,1,Female,18–29,AT,2,3,-0.9329248789936372,2.267064772112991
10368,AT,2,35,0.15726998,2,2,1,2,1,2,2,2,2,2,3,2,2,2,Female,30–44,AT,2,1.9166666666666667,-0.9329248789936372,0.34411330438505133
10370,AT,2,20,1.3033638,3,4,4,2,2,3,2,1,3,2,3,1,1,1,Female,18–29,AT,2.5,2.25,-0.2451523777283367,0.9357906790705711
10443,AT,1,68,0.3790756,1,1,2,3,4,2,,4,1,1,1,1,1,1,Male,65+,AT,2.5,1.6363636363636362,-0.2451523777283367,-0.15343357887322706
10455,AT,1,51,0.36314145,1,2,2,3,1,3,1,3,1,1,1,1,2,1,Male,45–64,AT,3,1.4166666666666667,0.44262012353696373,-0.5434027576432284
10581,AT,1,66,1.7129452,2,2,2,2,1,3,1,3,1,1,2,1,2,1,Male,65+,AT,2.5,1.5833333333333333,-0.2451523777283367,-0.24756407030046876
10584,AT,2,56,0.9650992,1,2,1,4,1,4,2,1,1,1,2,1,2,1,Female,45–64,AT,4,1.3333333333333333,1.8181651260675646,-0.6913221013146087
10654,AT,2,51,0.6949101,1,2,2,2,3,1,3,2,1,2,2,1,2,2,Female,45–64,AT,1.5,1.9166666666666667,-1.6206973802589375,0.34411330438505133
10736,AT,1,67,0.50983644,1,2,2,4,1,4,2,1,1,2,3,2,2,1,Male,65+,AT,4,1.6666666666666667,1.8181651260675646,-0.09964472662908853
10754,AT,1,48,0.8262225,3,3,1,2,2,1,2,3,3,3,2,2,3,2,Male,45–64,AT,1.5,2.4166666666666665,-1.6206973802589375,1.2316293664133307
10833,AT,2,39,0.72975636,2,3,1,3,1,4,1,1,2,2,3,1,4,1,Female,30–44,AT,3.5,1.8333333333333333,1.1303926248022642,0.19619396071367112
10865,AT,1,54,1.7498367,2,2,2,2,1,3,2,2,2,2,2,2,3,2,Male,45–64,AT,2.5,2,-0.2451523777283367,0.4920326480564312
11244,AT,2,47,0.31095678,2,3,1,3,3,2,1,2,2,3,2,2,3,1,Female,45–64,AT,2.5,2.0833333333333335,-0.2451523777283367,0.6399519917278114
11317,AT,2,45,0.71037346,3,3,3,2,3,1,3,3,3,3,4,2,3,2,Female,45–64,AT,1.5,2.9166666666666665,-1.6206973802589375,2.1191454284416107
11319,AT,1,81,1.0807527,2,1,2,3,2,2,1,1,2,2,2,1,2,1,Male,65+,AT,2.5,1.5833333333333333,-0.2451523777283367,-0.24756407030046876
11362,AT,1,27,1.0810356,4,3,3,3,3,3,3,3,3,3,3,,3,3,Male,18–29,AT,3,3.090909090909091,0.44262012353696373,2.428431328845405
11433,AT,2,41,0.32729596,3,3,1,3,1,3,2,1,2,2,3,1,2,1,Female,30–44,AT,3,1.8333333333333333,0.44262012353696373,0.19619396071367112
11634,AT,1,53,1.7206339,1,1,2,3,1,3,1,1,1,2,1,1,2,1,Male,45–64,AT,3,1.25,0.44262012353696373,-0.8392414449859885
11649,AT,2,28,0.44499606,4,4,3,2,2,2,4,3,4,4,4,3,4,2,Female,18–29,AT,2,3.4166666666666665,-0.9329248789936372,3.0066614904698903
11682,AT,2,58,0.9117254,2,2,4,2,2,2,3,2,4,4,3,4,2,2,Female,45–64,AT,2,2.8333333333333335,-0.9329248789936372,1.9712260847702312
11904,AT,1,19,2.3210714,2,2,1,2,1,2,3,3,2,1,3,1,2,1,Male,18–29,AT,2,1.8333333333333333,-0.9329248789936372,0.19619396071367112
12005,AT,1,44,0.80393106,1,2,1,3,1,3,1,1,1,1,1,1,2,2,Male,30–44,AT,3,1.25,0.44262012353696373,-0.8392414449859885
12030,AT,1,34,3.3445206,3,3,3,1,3,1,3,1,3,3,3,2,3,3,Male,30–44,AT,1,2.75,-2.308469881524238,1.8233067410988508
12077,AT,1,30,1.243293,3,3,3,2,3,2,3,3,3,4,3,1,3,2,Male,30–44,AT,2,2.8333333333333335,-0.9329248789936372,1.9712260847702312
12090,AT,2,47,0.21322554,1,1,1,3,1,3,1,1,2,1,2,1,2,1,Female,45–64,AT,3,1.25,0.44262012353696373,-0.8392414449859885
12133,AT,2,29,0.7799433,2,2,3,2,1,2,1,1,2,2,1,1,1,1,Female,18–29,AT,2,1.5,-0.9329248789936372,-0.3954834139718486
12275,AT,1,40,0.84088844,1,2,1,3,1,3,2,2,1,1,2,2,2,2,Male,30–44,AT,3,1.5833333333333333,0.44262012353696373,-0.24756407030046876
